Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,14,0,0,14,14,0,0
2020-03-15,18,0,0,32,32,0,0
2020-03-16,6,0,0,38,38,0,0
2020-03-17,3,0,1,40,41,0,1
2020-03-18,3,0,0,43,44,0,1
2020-03-19,4,0,0,47,48,0,1
2020-03-20,4,0,0,51,52,0,1
2020-03-21,12,0,0,63,64,0,1
2020-03-22,10,0,1,72,74,0,2
2020-03-23,23,0,0,95,97,0,2
2020-03-24,10,0,0,105,107,0,2
2020-03-25,15,1,0,119,122,1,2
2020-03-26,3,0,1,121,125,1,3
2020-03-27,31,18,1,133,156,19,4
2020-03-28,30,6,2,155,186,25,6
2020-03-29,17,0,1,171,203,25,7
2020-03-30,17,14,2,172,220,39,9
2020-03-31,82,0,1,253,302,39,10
2020-04-01,33,0,3,283,335,39,13
2020-04-02,88,3,8,360,423,42,21
2020-04-03,64,8,5,411,487,50,26
2020-04-04,148,2,6,551,635,52,32
2020-04-05,112,4,13,646,747,56,45
2020-04-06,121,14,7,746,868,70,52
2020-04-07,150,9,12,875,1018,79,64
2020-04-08,117,38,8,946,1135,117,72
2020-04-09,229,8,25,1142,1364,125,97
2020-04-10,210,63,12,1277,1574,188,109
2020-04-11,187,20,17,1427,1761,208,126
2020-04-12,221,9,22,1617,1982,217,148
2020-04-13,352,12,11,1946,2334,229,159
2020-04-14,346,30,18,2244,2680,259,177
2020-04-15,236,36,9,2435,2916,295,186
2020-04-16,285,5,7,2708,3201,300,193
2020-04-17,120,31,7,2790,3321,331,200
2020-04-18,327,34,10,3073,3648,365,210
2020-04-19,552,142,12,3471,4200,507,222
2020-04-20,466,65,9,3863,4666,572,231
2020-04-21,552,150,19,4246,5218,722,250
2020-04-22,431,67,18,4592,5649,789,268
2020-04-23,778,51,14,5305,6427,840,282
2020-04-24,390,117,18,5560,6817,957,300
2020-04-25,811,119,22,6230,7628,1076,322
2020-04-26,440,112,19,6539,8068,1188,341
2020-04-27,522,94,27,6940,8590,1282,368
2020-04-28,728,106,31,7531,9318,1388,399
2020-04-29,597,205,32,7891,9915,1593,431
2020-04-30,583,180,27,8267,10498,1773,458
2020-05-01,1008,106,26,9143,11506,1879,484
2020-05-02,790,121,36,9776,12296,2000,520
2020-05-03,678,115,27,10312,12974,2115,547
2020-05-04,1567,350,35,11494,14541,2465,582
2020-05-05,984,354,34,12090,15525,2819,616
2020-05-06,1233,275,34,13014,16758,3094,650
2020-05-07,1216,207,43,13980,17974,3301,693
2020-05-08,1089,169,37,14863,19063,3470,730
2020-05-09,1165,330,48,15650,20228,3800,778
2020-05-10,1943,399,53,17141,22171,4199,831
2020-05-11,1230,587,36,17748,23401,4786,867
2020-05-12,1026,339,53,18382,24427,5125,920
2020-05-13,1495,422,54,19401,25922,5547,974
2020-05-14,1602,542,44,20417,27524,6089,1018
2020-05-15,1576,475,49,21469,29100,6564,1067
2020-05-16,1606,524,67,22484,30706,7088,1134
2020-05-17,2347,600,63,24168,33053,7688,1197
2020-05-18,2005,749,51,25373,35058,8437,1248
2020-05-19,2078,1202,76,26173,37136,9639,1324
2020-05-20,2161,679,65,27590,39297,10318,1389
2020-05-21,2345,1408,64,28463,41642,11726,1453
2020-05-22,2940,857,63,30483,44582,12583,1516
2020-05-23,2608,821,60,32210,47190,13404,1576
2020-05-24,3041,1196,58,33997,50231,14600,1634
2020-05-25,2436,1186,60,35187,52667,15786,1694
2020-05-26,2091,1168,97,36013,54758,16954,1791
2020-05-27,2190,964,105,37134,56948,17918,1896
2020-05-28,2598,698,85,38949,59546,18616,1981
2020-05-29,2682,8381,116,33134,62228,26997,2097
2020-05-30,2940,1084,99,34891,65168,28081,2196
2020-05-31,2487,1248,89,36041,67655,29329,2285
