Date,Confirmed,Recovered,Deceased,Active,Total Confirmed,Total Recovered,Total Deceased
2020-03-14,19,3,0,16,19,3,0
2020-03-15,5,0,0,21,24,3,0
2020-03-16,3,0,0,24,27,3,0
2020-03-17,0,0,0,24,27,3,0
2020-03-18,0,0,0,24,27,3,0
2020-03-19,1,0,0,25,28,3,0
2020-03-20,12,0,0,37,40,3,0
2020-03-21,12,0,0,49,52,3,0
2020-03-22,15,0,0,64,67,3,0
2020-03-23,28,0,0,92,95,3,0
2020-03-24,14,1,0,105,109,4,0
2020-03-25,9,0,0,114,118,4,0
2020-03-26,19,7,0,126,137,11,0
2020-03-27,39,0,0,165,176,11,0
2020-03-28,6,1,1,169,182,12,1
2020-03-29,20,4,0,185,202,16,1
2020-03-30,32,4,0,213,234,20,1
2020-03-31,7,4,1,215,241,24,2
2020-04-01,24,2,0,237,265,26,2
2020-04-02,21,2,0,256,286,28,2
2020-04-03,9,14,0,251,295,42,2
2020-04-04,11,8,0,254,306,50,2
2020-04-05,8,6,0,256,314,56,2
2020-04-06,13,3,0,266,327,59,2
2020-04-07,9,12,0,263,336,71,2
2020-04-08,9,13,0,259,345,84,2
2020-04-09,12,13,0,258,357,97,2
2020-04-10,7,27,0,238,364,124,2
2020-04-11,10,19,1,228,374,143,3
2020-04-12,2,36,0,194,376,179,3
2020-04-13,3,19,0,178,379,198,3
2020-04-14,8,13,0,173,387,211,3
2020-04-15,1,7,0,167,388,218,3
2020-04-16,7,27,0,147,395,245,3
2020-04-17,1,10,0,138,396,255,3
2020-04-18,4,2,0,140,400,257,3
2020-04-19,2,13,0,129,402,270,3
2020-04-20,6,21,0,114,408,291,3
2020-04-21,19,16,0,117,427,307,3
2020-04-22,11,1,0,127,438,308,3
2020-04-23,10,8,0,129,448,316,3
2020-04-24,3,15,1,116,451,331,4
2020-04-25,7,7,0,116,458,338,4
2020-04-26,11,4,0,123,469,342,4
2020-04-27,13,13,0,123,482,355,4
2020-04-28,4,4,0,123,486,359,4
2020-04-29,10,10,0,123,496,369,4
2020-04-30,2,14,0,111,498,383,4
2020-05-01,0,9,0,102,498,392,4
2020-05-02,2,8,0,96,500,400,4
2020-05-03,0,1,0,95,500,401,4
2020-05-04,0,61,0,34,500,462,4
2020-05-05,3,0,0,37,503,462,4
2020-05-06,0,7,0,30,503,469,4
2020-05-07,0,5,0,25,503,474,4
2020-05-08,1,10,0,16,504,484,4
2020-05-09,2,1,0,17,506,485,4
2020-05-10,7,4,0,20,513,489,4
2020-05-11,7,0,0,27,520,489,4
2020-05-12,5,0,0,32,525,489,4
2020-05-13,10,1,0,41,535,490,4
2020-05-14,26,3,0,64,561,493,4
2020-05-15,16,0,0,80,577,493,4
2020-05-16,11,4,0,87,588,497,4
2020-05-17,14,0,0,101,602,497,4
2020-05-18,29,0,0,130,631,497,4
2020-05-19,12,0,0,142,643,497,4
2020-05-20,24,5,0,161,667,502,4
2020-05-21,24,8,0,177,691,510,4
2020-05-22,42,2,1,216,733,512,5
2020-05-23,62,3,0,275,795,515,5
2020-05-24,53,5,1,322,848,520,6
2020-05-25,49,12,0,359,897,532,6
2020-05-26,67,10,1,415,964,542,7
2020-05-27,40,10,0,445,1004,552,7
2020-05-28,85,3,1,526,1089,555,8
2020-05-29,62,10,1,577,1151,565,9
2020-05-30,58,10,1,624,1209,575,10
2020-05-31,61,15,0,670,1270,590,10
